"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"May",2015,1,"Software Engineer","Dever","CO","UNITED STATES","Male","Information Systems",NA,NA,"Economics",NA,NA,NA,NA,NA
"Dec",2015,1,"PhD candidate","Iowa City","IA","UNITED STATES","Male","Business Analytics","Mathematics (Program C)",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Integration Architect","Kansas City","MO","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,"Entrepreneurial Management",NA,NA
"May",2015,1,"Software Developer","Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Consultant","Chicago","IL","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Business Analyst","Washington D.C.",NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,"International Business",NA,NA
"May",2015,1,"Senior Consultant","Phoenix","AZ","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Auditor","Seattle","WA","UNITED STATES","Female","Business Analytics","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Workday Prism Consultant","Chicago","IL","UNITED STATES","Male","Business Analytics","Finance",NA,"International Relations",NA,NA,"Entrepreneurial Management",NA,NA
"May",2015,1,"Senior Risk Quantitative Strategy Analyst","New York","NY","CHINA","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Security Operations Engineer","San Francisco","CA","CHINA","Male","Business Analytics","Economics (Analytical)",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Manager of Marketing Analytics","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,"Human Relations",NA,NA,NA,NA,NA
"May",2015,1,"Senior Associate","Denver","CO","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"E-commerce Operations Program Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"IT Portfolio Analyst","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,NA,NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,NA,"Hangzhou CIty","Zhejiang, China","CHINA","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,NA,NA,NA,NA,"Female","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Aug",2015,1,"Data Analyst","New York","NY","CHINA","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,NA,NA,NA,"CHINA","Female","Finance","Business Analytics",NA,NA,NA,NA,"Risk Management and Insurance",NA,NA
"May",2015,1,"Investment Banking Analyst","Jing'an District","Shanghai, China","CHINA","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,NA,NA,NA,"UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Data Analyst","Minneapolis","MN","CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2015,3,"Implementation Manager","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,3,"Software Developer","Coralville","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,"Entrepreneurial Management",NA,NA
"May",2015,3,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,3,NA,NA,NA,"CHINA","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2015,3,"Senior Business Intelligence Analyst","Kansas City","MO","UNITED STATES","Male","Sport and Recreation Management (Business Studies)","Business Analytics","Leisure Studies (Recreation and Sport Business)","Sport and Recreation Management",NA,NA,NA,NA,NA
"May",2015,3,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,3,"Application Support Specialist","Bettendorf","IA","UNITED STATES","Female","Marketing","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,3,NA,NA,NA,"UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,3,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,3,NA,NA,NA,"CHINA","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,3,"Applications Programmer","Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,3,"Programmer Intern","North Liberty","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"CHINA","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Female","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"CHINA","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
